dataset,model,ram,accuracy,accuracy_std,f1,f1_std,model_size,model_size_std,metric,metric_std,performance_metric,accuracy_relative,f1_relative,model_size_relative,metric_relative,pareto
Rice,KNN,,0.8808398950131233,0.0169438785003458,0.8801652508609479,0.0173802813995354,223815.4,91896.06911506064,0.8801652508609479,0.0173802813995354,f1,0.946418499717992,0.945737457994039,8.826224465651865,0.945737457994039,False
Rice,MLP,,0.8404199475065617,0.049964030817427,0.8088356849586432,0.0773892194145299,50125.93333333333,76723.36939449701,0.8088356849586432,0.0773892194145299,f1,0.9029892836999436,0.86909384786483,1.976730551831112,0.86909384786483,False
Rice,RF,,0.92580927384077,0.0122742198999552,0.9257143135910766,0.0123446512170896,1167493.3333333335,1736349.285686863,0.9257143135910766,0.0123446512170896,f1,0.994735852603873,0.9946799205126012,46.04043431395747,0.9946799205126012,False
Rice,SVM,,0.9307086614173228,0.0120777694119093,0.930665528177161,0.0121404591639344,25358.0,330.959211988426,0.930665528177161,0.0121404591639344,f1,1.0,1.0,1.0,1.0,True
Rice,Wisard,CC,0.9139107611548556,0.0037554113790611,0.913932624896956,0.0038662072426787,64624.0,64112.54105087397,0.913932624896956,0.0038662072426787,f1,0.98195149464185,0.9820204974036392,2.5484659673475827,0.9820204974036392,False
Satimage,KNN,,0.9051321928460344,0.0052739735483089,0.9053325366066756,0.0050707705449526,1478788.2,581478.1854056952,0.9053325366066756,0.0050707705449526,f1,0.9931175701040896,0.9963579897213068,0.0603229814795628,0.9963579897213068,False
Satimage,MLP,,0.9053913945049248,0.0045600342368479,0.9038558268441036,0.0047856660931257,126005.8,39585.00863584597,0.9038558268441036,0.0047856660931257,f1,0.9934019680336724,0.9947328061440626,0.0051400501706177,0.9947328061440626,True
Satimage,RF,,0.9114048729911872,0.0034746560038232,0.9086418194527728,0.0038929785087597,24514507.8,27133845.58918851,0.9086418194527728,0.0038929785087597,f1,1.0,1.0,1.0,1.0,True
Satimage,SVM,,0.9082426127527216,0.0075190822728669,0.9072305692263054,0.0072359465622012,353672.0,8054.4443632071825,0.9072305692263054,0.0072359465622012,f1,0.9965303452590863,0.9984468575006624,0.0144270487861885,0.9984468575006624,True
Satimage,Wisard,Dict,0.8834629341627785,0.0067407383594696,0.8792001684449403,0.006680500938251,2277409.2,752261.3098117199,0.8792001684449403,0.006680500938251,f1,0.9693419031909446,0.9675981774363372,0.0929004660660574,0.9675981774363372,False
Segment,KNN,,0.954112554112554,0.0119929828373983,0.954076590520634,0.0121634921924701,237192.6,2.509980079599908,0.954112554112554,0.0119929828373983,accuracy,0.9775280898876404,0.977492007892202,0.0967429088743097,0.9775280898876404,False
Segment,MLP,,0.9673160173160174,0.0077523565424007,0.9672320188337004,0.0077394906934431,196009.03333333333,163573.8496048837,0.9673160173160174,0.0077523565424007,accuracy,0.9910555884092254,0.9909703032032776,0.0799455128461352,0.9910555884092254,True
Segment,RF,,0.976046176046176,0.0042501230808148,0.9760454129726752,0.004223435297554,2451782.8,2639520.7778192805,0.976046176046176,0.0042501230808148,accuracy,1.0,1.0,1.0,1.0,True
Segment,SVM,,0.9575757575757576,0.0091320446362463,0.9577013359212548,0.0088974312492274,44604.8,10568.54044795212,0.9575757575757576,0.0091320446362463,accuracy,0.9810762862211708,0.9812057135788884,0.0181928023966886,0.9810762862211708,True
Segment,Wisard,HH,0.8845598845598847,0.0148303064870811,0.8784076520659824,0.0167371498087604,379209.6,720878.3940088646,0.8845598845598847,0.0148303064870811,accuracy,0.9062684801892372,0.8999659650985662,0.1546668815851061,0.9062684801892372,False
Sepsis,KNN,,0.92601118069612,0.0006162629526581,0.8909150975412059,0.0001023098022757,4789466.2,53839.125426589184,0.8909150975412059,0.0001023098022757,f1,0.9998793071620778,0.9999556145177004,240.55097838315652,0.9999556145177004,False
Sepsis,MLP,,0.9263283820736804,1.9944441916072828e-05,0.8909013432042945,2.913945765150026e-05,9795.733333333334,2717.915882518156,0.8909013432042945,2.913945765150026e-05,f1,1.0002218117670305,0.9999401767656,0.4919907853851923,0.9999401767656,True
Sepsis,RF,,0.9262196297796306,0.0001019383396394,0.8909001474474234,3.0274357843426e-05,10433077.8,6703642.189415162,0.8909001474474234,3.0274357843426e-05,f1,1.0001043842772832,0.999938834658142,524.0014163452266,0.999938834658142,False
Sepsis,SVM,,0.9263283820736804,1.9944441916072828e-05,0.8909013432042945,2.913945765150026e-05,459703.4,451.7773788050943,0.8909013432042945,2.913945765150026e-05,f1,1.0002218117670305,0.9999401767656,23.088606959177117,0.9999401767656,False
Sepsis,Wisard,CMS,0.9261229571040778,0.0004246565395227,0.8909546429927421,8.8416797261451e-05,19910.4,20635.04312571214,0.8909546429927421,8.8416797261451e-05,f1,1.0,1.0,1.0,1.0,True
Vehicle,KNN,,0.8428332753219632,0.0230589824524173,0.8432442064911253,0.0228081456304624,82884.2,70.01928305831109,0.8428332753219632,0.0230589824524173,accuracy,0.886479454863179,0.8868594006826099,0.1828893553403353,0.886479454863179,False
Vehicle,MLP,,0.904327648219051,0.036205843793327,0.904334912424963,0.0366669798331974,92696.06666666664,76287.96595772276,0.904327648219051,0.036205843793327,accuracy,0.9511583181201372,0.9511099065677412,0.2045398746112216,0.9511583181201372,False
Vehicle,RF,,0.9507645898596124,0.0113901291757738,0.9508206214447136,0.0114175954213647,453193.1333333334,273346.39670903137,0.9507645898596124,0.0113901291757738,accuracy,1.0,1.0,1.0,1.0,True
Vehicle,SVM,,0.9432927253741734,0.0255331991186326,0.9432144827839024,0.0258728807196054,17608.6,6758.003129623425,0.9432927253741734,0.0255331991186326,accuracy,0.9921412044946454,0.9920004483608548,0.0388545163305651,0.9921412044946454,True
Vehicle,Wisard,CC,0.8735630583594386,0.0272199062010834,0.8726782176245674,0.0277831856225048,538598.4,528188.8924663222,0.8735630583594386,0.0272199062010834,accuracy,0.918800581843742,0.917815829760388,1.1884522522185903,0.918800581843742,False
Wine,KNN,,0.7077777777777777,0.0584139923942252,0.7087769727856685,0.0519185462307899,16175.4,6314.060721912643,0.7087769727856685,0.0519185462307899,f1,0.7214043035107587,0.7225377831711868,0.0820558693226013,0.7225377831711868,False
Wine,MLP,,0.935873015873016,0.0511470838606929,0.9353143842507008,0.0518925802313692,513827.5333333333,696015.950813134,0.9353143842507008,0.0518925802313692,f1,0.953890956155962,0.9534733882628328,2.6065856133112377,0.9534733882628328,False
Wine,RF,,0.9811111111111112,0.0292920585032535,0.9809548916250128,0.0296602808500175,197126.6666666667,325716.99071185844,0.9809548916250128,0.0296602808500175,f1,1.0,1.0,1.0,1.0,True
Wine,SVM,,0.9433333333333334,0.0531437958613115,0.943416526414396,0.0529442419135799,3665.0,394.2765526885919,0.943416526414396,0.0529442419135799,f1,0.9614949037372592,0.9617328324359214,0.0185921065981264,0.9617328324359214,True
Wine,Wisard,Dict,0.9212698412698412,0.0377137720497802,0.919962095802286,0.0391493511572369,47394.26666666666,58522.229071714464,0.919962095802286,0.0391493511572369,f1,0.9390066332308687,0.9378230371819763,0.2404254455679934,0.9378230371819763,False
Yeast,KNN,,0.59502457002457,0.0201233184769215,0.5809740655746582,0.0210899576108628,69078.4,32.1993788759986,0.5809740655746582,0.0210899576108628,f1,0.9918831250916484,0.9818361899121314,0.0030540888569623,0.9818361899121314,True
Yeast,MLP,,0.5441612066612066,0.0951301892414907,0.5394002470191114,0.0890481480854281,94812.0,178442.53495266574,0.5394002470191114,0.0890481480854281,f1,0.9070958501671158,0.9115771507753304,0.0041918207819856,0.9115771507753304,False
Yeast,RF,,0.5998938332271665,0.0509940851845885,0.5917219914522116,0.0482230187263024,22618333.4,25929499.97345879,0.5917219914522116,0.0482230187263024,f1,1.0,1.0,1.0,1.0,True
Yeast,SVM,,0.5362589862589863,0.1078949041376446,0.5354593190186775,0.0941964336627025,105063.8,1721.3213529146713,0.5354593190186775,0.0941964336627025,f1,0.8939231519919907,0.904917050158211,0.0046450725675482,0.904917050158211,False
Yeast,Wisard,HH,0.5444816028149362,0.0215471707559166,0.5274104962696218,0.0193646523882298,179456.0,89134.33277923832,0.5274104962696218,0.0193646523882298,f1,0.9076299382606806,0.8913146779879589,0.0079340947375017,0.8913146779879589,False
