val_accuracy,val_accuracy_mean,val_accuracy_std,val_f1 weighted,val_f1 weighted_mean,val_f1 weighted_std,val_model size,val_model size_mean,val_model size_std,train time,val_predict time,train_samples,val_samples,test_samples,classes,test_accuracy,test_accuracy_mean,test_accuracy_std,test_f1 weighted,test_f1 weighted_mean,test_f1 weighted_std,test_model size,test_model size_mean,test_model size_std,test_predict time,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,root_data_dir,dataset_name,n_neighbors,weights,algorithm
0.6206896551724138,0.6206896551724138,0.0,0.5241379310344827,0.5241379310344827,0.0,13328,13328.0,0.0,0.000979273987468332,0.05368154699681327,113,29,36,3,0.6666666666666666,0.6666666666666666,0.0,0.5752525252525252,0.5752525252525252,0.0,13328,13328.0,0.0,0.07546572102000937,True,3,8d8a0e0e,2024-04-26_14-11-51,1714140711,0.17246603965759277,0.4302840232849121,4013932,7a98ee01b1f1,172.17.0.2,0.4302840232849121,3,/workspaces/wisard/experiments/data_folded,wine_fold_0,99,uniform,auto
0.6896551724137931,0.6896551724137931,0.0,0.6832583708145927,0.6832583708145927,0.0,27251,27251.0,0.0,0.0033960819710046053,0.0036075449897907674,113,29,36,3,0.8055555555555556,0.8055555555555557,1.1102230246251565e-16,0.8053902873124843,0.8053902873124844,1.1102230246251565e-16,27251,27251.0,0.0,0.0027188780368305743,True,3,b1e3e430,2024-04-26_14-14-24,1714140864,0.04338359832763672,0.10525059700012207,4085074,7a98ee01b1f1,172.17.0.2,0.10525059700012207,3,/workspaces/wisard/experiments/data_folded,wine_fold_0,51,distance,auto
0.6896551724137931,0.6896551724137931,0.0,0.6832583708145927,0.6832583708145927,0.0,13324,13324.0,0.0,0.001161655003670603,0.04738170199561864,113,29,36,3,0.8611111111111112,0.8611111111111112,0.0,0.86381412468369,0.86381412468369,0.0,13324,13324.0,0.0,0.044836718996521086,True,3,0b20c496,2024-04-26_14-13-45,1714140825,0.13637995719909668,0.3843073844909668,4074887,7a98ee01b1f1,172.17.0.2,0.3843073844909668,3,/workspaces/wisard/experiments/data_folded,wine_fold_0,17,distance,brute
0.6551724137931034,0.6551724137931034,0.0,0.6423645320197043,0.6423645320197043,0.0,26940,26940.0,0.0,0.0018108490039594471,0.004122798971366137,113,29,36,3,0.7777777777777778,0.7777777777777778,0.0,0.7742368361816703,0.7742368361816703,0.0,26940,26940.0,0.0,0.0016605349956080317,True,3,f520414e,2024-04-26_14-12-12,1714140732,0.03551316261291504,0.20914554595947266,4018926,7a98ee01b1f1,172.17.0.2,0.20914554595947266,3,/workspaces/wisard/experiments/data_folded,wine_fold_0,70,distance,ball_tree
0.6896551724137931,0.6896551724137931,0.0,0.6764591730108972,0.6764591730108972,0.0,13324,13324.0,0.0,0.0010917159961536527,0.3095483490033075,113,29,36,3,0.8333333333333334,0.8333333333333334,0.0,0.8345117845117844,0.8345117845117844,0.0,13324,13324.0,0.0,0.6184467029524967,True,3,86b63b86,2024-04-26_14-15-29,1714140929,0.9662830829620361,2.7497365474700928,4097300,7a98ee01b1f1,172.17.0.2,2.7497365474700928,3,/workspaces/wisard/experiments/data_folded,wine_fold_0,11,distance,brute
0.6896551724137931,0.6896551724137931,0.0,0.6832583708145927,0.6832583708145927,0.0,13324,13324.0,0.0,0.0008660019957460463,0.054107103031128645,113,29,36,3,0.8333333333333334,0.8333333333333334,0.0,0.8351241046143595,0.8351241046143595,0.0,13324,13324.0,0.0,0.06932076800148934,True,3,9563891e,2024-04-26_14-13-57,1714140837,0.1700916290283203,1.0684432983398438,4076963,7a98ee01b1f1,172.17.0.2,1.0684432983398438,3,/workspaces/wisard/experiments/data_folded,wine_fold_0,18,distance,brute
0.7586206896551724,0.7586206896551723,1.1102230246251565e-16,0.7530974772354082,0.7530974772354083,1.1102230246251565e-16,26939,26939.0,0.0,0.0015163859934546053,0.004336857004091144,113,29,36,3,0.75,0.75,0.0,0.7502245953046869,0.750224595304687,1.1102230246251565e-16,26939,26939.0,0.0,0.005345208977814764,True,3,bb7f8314,2024-04-26_14-12-03,1714140723,0.01943039894104004,0.14928317070007324,4017571,7a98ee01b1f1,172.17.0.2,0.14928317070007324,3,/workspaces/wisard/experiments/data_folded,wine_fold_0,13,uniform,ball_tree
0.6896551724137931,0.6896551724137931,0.0,0.6769070010449321,0.6769070010449321,0.0,27250,27250.0,0.0,0.003030526975635439,0.014372716017533094,113,29,36,3,0.7777777777777778,0.7777777777777778,0.0,0.7805264034649342,0.7805264034649341,1.1102230246251565e-16,27250,27250.0,0.0,0.008910080010537058,True,3,88ea443b,2024-04-26_14-16-17,1714140977,0.039124250411987305,0.09766077995300293,4108709,7a98ee01b1f1,172.17.0.2,0.09766077995300293,3,/workspaces/wisard/experiments/data_folded,wine_fold_0,9,uniform,auto
0.6551724137931034,0.6551724137931034,0.0,0.6425358749196829,0.6425358749196829,0.0,27250,27250.0,0.0,0.0013769000070169568,0.008615076018031687,113,29,36,3,0.6944444444444444,0.6944444444444443,1.1102230246251565e-16,0.6674244577057877,0.6674244577057878,1.1102230246251565e-16,27250,27250.0,0.0,0.012813142035156488,True,3,81eee6b4,2024-04-26_14-16-22,1714140982,0.043561458587646484,0.12629151344299316,4109847,7a98ee01b1f1,172.17.0.2,0.12629151344299316,3,/workspaces/wisard/experiments/data_folded,wine_fold_0,20,uniform,auto
0.6896551724137931,0.6896551724137931,0.0,0.6796601699150424,0.6796601699150425,1.1102230246251565e-16,13323,13323.0,0.0,0.0009699400397948921,0.19684452697401866,113,29,36,3,0.75,0.75,0.0,0.7553485162180815,0.7553485162180816,1.1102230246251565e-16,13323,13323.0,0.0,0.11634639702970162,True,3,76e41690,2024-04-26_14-15-02,1714140902,0.3435549736022949,1.1510546207427979,4092639,7a98ee01b1f1,172.17.0.2,1.1510546207427979,3,/workspaces/wisard/experiments/data_folded,wine_fold_0,11,uniform,brute
