dataset,model,accuracy,accuracy_std,f1,f1_std,model_size,model_size_std,metric,metric_std,performance_metric,accuracy_relative,f1_relative,model_size_relative,metric_relative
breast_cancer,Dict-Wisard,0.9536821404543808,0.01789154241227995,0.9536624554539538,0.0177165860597548,61675.666666666664,64519.67940395309,0.9536624554539538,0.0177165860597548,f1,0.9896353579292199,0.9897741692875811,0.1969140305144538,0.9897741692875811
breast_cancer,KNN-10,0.933224654556746,0.023671509610991265,0.9325215509983062,0.024771570196358877,113565.6,110.90897168398794,0.9325215509983062,0.024771570196358877,f1,0.9684066376671502,0.9678327359996195,0.3625848123321287,0.9678327359996195
breast_cancer,KNN-5,0.9314547430523211,0.02936708227284068,0.9307638734802332,0.03067692377801267,113565.6,110.90897168398794,0.9307638734802332,0.03067692377801267,f1,0.9665700016110844,0.9660085016540426,0.3625848123321287,0.9660085016540426
breast_cancer,MLP-1L,0.9250840966723594,0.04197512087269446,0.9244593812353823,0.042355679674464644,83856.06666666667,755.9721261763224,0.9244593812353823,0.042355679674464644,f1,0.9599591858654208,0.9594652813157134,0.2677301594430338,0.9594652813157134
breast_cancer,MLP-2L,0.9044920560989494,0.02936550334764936,0.9037241882827299,0.02997762769715475,325137.5333333333,385.8725034112972,0.9037241882827299,0.02997762769715475,f1,0.9385908383008432,0.9379449223434606,1.038077829076744,0.9379449223434606
breast_cancer,MLP-3L,0.9086787765874863,0.039625412030526136,0.9082283361920162,0.04056078338898737,567566.0,260.4160133325044,0.9082283361920162,0.04056078338898737,f1,0.9429353955211858,0.9426196258821881,1.8120875652142632,0.9426196258821881
breast_cancer,Random Forest,0.9636702375407544,0.014144972187548056,0.9635151987653711,0.01443275387357746,313211.13333333336,20666.80413341377,0.9635151987653711,0.01443275387357746,f1,1.0,1.0,1.0,1.0
breast_cancer,SVM-poly,0.9104176370128861,0.020761237096987184,0.9080530554251874,0.02198539094616541,29932.0,1533.7796451902732,0.9080530554251874,0.02198539094616541,f1,0.9447398098920574,0.9424377078729513,0.09556492989712796,0.9424377078729513
breast_cancer,SVM-rbf,0.9174351808725353,0.01693330388882362,0.9154644644259566,0.01842339404216808,32895.0,1392.881904541803,0.9154644644259566,0.01842339404216808,f1,0.9520219107459321,0.9501297598616133,0.10502500230409008,0.9501297598616133
dry_bean,Dict-Wisard,0.9027256139116275,0.004008054642655623,0.9027994049193138,0.00346084994997527,968603.5333333332,443718.5251202239,0.9027994049193138,0.00346084994997527,f1,1.0,1.0,1.0,1.0
dry_bean,KNN-10,0.6444169095383895,0.10118250184679273,0.6377471636586879,0.100045474547426,1481601.8,60.821048987974756,0.6377471636586879,0.100045474547426,f1,0.7138569013745464,0.7064107045082573,1.5296266728464687,0.7064107045082573
dry_bean,KNN-5,0.6562459069784887,0.10588596729694923,0.6526146533913346,0.10416657562754773,1481601.8,60.821048987974756,0.6526146533913346,0.10416657562754773,f1,0.7269605479951874,0.7228789140037825,1.5296266728464687,0.7228789140037825
dry_bean,MLP-1L,0.4367393658342964,0.12677965011540251,0.3599089734872839,0.12717367138978988,63525.86666666666,247.8536306415987,0.3599089734872839,0.12717367138978988,f1,0.4838007907428791,0.3986588510428296,0.06558500406048488,0.3986588510428296
dry_bean,MLP-2L,0.43982082583311455,0.06033530036684585,0.38037630445916754,0.05100190085026509,306616.93333333335,270.87526854828985,0.38037630445916754,0.05100190085026509,f1,0.4872142975176185,0.4213298130088633,0.31655566264366997,0.4213298130088633
dry_bean,MLP-3L,0.4578420380843369,0.07653359014386169,0.40714948377634386,0.07436403308156078,549375.5333333333,215.61367200520036,0.40714948377634386,0.07436403308156078,f1,0.5071774092023907,0.45098554735172003,0.5671830779335721,0.45098554735172003
dry_bean,Random Forest,0.8317431205533292,0.13153021877504947,0.8321631507615977,0.13084377538484643,14351944.2,174843.03062232718,0.8321631507615977,0.13084377538484643,f1,0.9213686946903811,0.9217586389924248,14.81715036761171,0.9217586389924248
dry_bean,SVM-poly,0.5709461109448644,0.09200329791013785,0.5581037375581466,0.08632771352883713,1498056.0,2803.0340704315386,0.5581037375581466,0.08632771352883713,f1,0.6324691602256421,0.6181924074352111,1.5466142218629118,0.6181924074352111
dry_bean,SVM-rbf,0.5678626272024065,0.1055498787194154,0.5390648096870417,0.08879601386573235,1501511.0,2227.9317763342756,0.5390648096870417,0.08879601386573235,f1,0.629053411636105,0.5971036386928277,1.550181212774157,0.5971036386928277
glass,Dict-Wisard,0.6841638981173864,0.05090156859225332,0.6333336959664475,0.04806204193759747,53000.86666666666,22996.499730756128,0.6333336959664475,0.04806204193759747,f1,0.8610452961672473,0.8112647751650959,0.06626180670238466,0.8112647751650959
glass,KNN-10,0.6171650055370985,0.05350338778890712,0.5835231672235777,0.054888187086184786,29866.0,71.55417527999327,0.5835231672235777,0.054888187086184786,f1,0.7767247386759581,0.7474602947485357,0.03733854262081414,0.7474602947485357
glass,KNN-5,0.6358803986710964,0.045346099000972744,0.6069871859356871,0.04108485394503961,29866.0,71.55417527999327,0.6069871859356871,0.04108485394503961,f1,0.8002787456445993,0.7775163804837206,0.03733854262081414,0.7775163804837206
glass,MLP-1L,0.4942045035068291,0.11556861952072282,0.4028767915108976,0.1627376800572008,45611.8,1763.4082624281873,0.4028767915108976,0.1627376800572008,f1,0.6219744483159118,0.5160624671731325,0.05702397838050125,0.5160624671731325
glass,MLP-2L,0.4706533776301218,0.150354403263741,0.4016063518143606,0.1617984446162104,288834.8,1557.868640161941,0.4016063518143606,0.1617984446162104,f1,0.5923344947735192,0.51443510551318,0.36110193833035314,0.51443510551318
glass,MLP-3L,0.5564784053156145,0.10056657607910881,0.49174807539127896,0.13182210745207512,531695.3333333333,1049.6476657537223,0.49174807539127896,0.13182210745207512,f1,0.700348432055749,0.6299015737847451,0.6647267416110173,0.6299015737847451
glass,Random Forest,0.7945736434108527,0.040651505743029115,0.7806744670228797,0.04002632952745955,799870.5333333333,19967.59490830636,0.7806744670228797,0.04002632952745955,f1,1.0,1.0,1.0,1.0
glass,SVM-poly,0.3551495016611296,0.01013152869234342,0.1862164415701289,0.00930961486496856,21343.6,63.53581667059944,0.1862164415701289,0.00930961486496856,f1,0.4469686411149826,0.2385327680566647,0.02668381833126661,0.2385327680566647
glass,SVM-rbf,0.3551495016611296,0.01013152869234342,0.1862164415701289,0.00930961486496856,21389.0,82.02438661763951,0.1862164415701289,0.00930961486496856,f1,0.4469686411149826,0.2385327680566647,0.026740577516794803,0.2385327680566647
image_segmentation,Dict-Wisard,0.8555555555555555,0.018098022620621202,0.852559286340799,0.022324203688907803,142505.2,46475.54460777073,0.8555555555555555,0.018098022620621202,accuracy,1.0,1.0,1.0,1.0
image_segmentation,KNN-10,0.6047619047619047,0.26384562242276327,0.6100600193457336,0.25418276747189267,27584.0,0.0,0.6047619047619047,0.26384562242276327,accuracy,0.7068645640074211,0.7155631627263401,0.19356486640487502,0.7068645640074211
image_segmentation,KNN-5,0.6,0.24420726485634453,0.5994843065431301,0.24333466915435278,27584.0,0.0,0.6,0.24420726485634453,accuracy,0.7012987012987013,0.7031584971833788,0.19356486640487502,0.7012987012987013
image_segmentation,MLP-1L,0.6428571428571429,0.2613630761916685,0.6390615733472876,0.2608326654610155,73339.4,0.5477225575061624,0.6428571428571429,0.2613630761916685,accuracy,0.7513914656771801,0.7495802152248582,0.5146436761605891,0.7513914656771801
image_segmentation,MLP-2L,0.6396825396825397,0.27167908239230315,0.6418622647194075,0.26262746960057465,315963.8,0.4472135955048388,0.6396825396825397,0.27167908239230315,accuracy,0.7476808905380335,0.7528652552414188,2.2172089158851747,0.7476808905380335
image_segmentation,MLP-3L,0.6460317460317461,0.26516726990329476,0.6452596609739467,0.2537916070869883,558596.2,0.44721359548856926,0.6460317460317461,0.26516726990329476,accuracy,0.7551020408163266,0.7568501936603302,3.919830293912081,0.7551020408163266
image_segmentation,Random Forest,0.7285714285714285,0.29383306226618816,0.7228485799914371,0.3004547179350902,517000.6,25632.68882306342,0.7285714285714285,0.29383306226618816,accuracy,0.8515769944341373,0.8478572593982493,3.6279419979060408,0.8515769944341373
image_segmentation,SVM-poly,0.5571428571428572,0.2330416057760411,0.5317445364046522,0.22003532081386618,25684.4,569.7409937857727,0.5571428571428572,0.2330416057760411,accuracy,0.6512059369202227,0.6237038818577768,0.18023482651861125,0.6512059369202227
image_segmentation,SVM-rbf,0.5761904761904761,0.23714094472359498,0.5639200398598895,0.24248841089845175,29885.8,364.9262939279656,0.5761904761904761,0.23714094472359498,accuracy,0.673469387755102,0.6614437833176918,0.20971725944035724,0.673469387755102
