accuracy,f1 weighted,f1 macro,f1 micro,run,train time,predict time,dataset name,model,model kwargs,model size,experiment name,train samples,test samples,classes,discriminators,seed
0.9848484848484848,0.9848484848484848,0.984848484848485,0.9848484848484848,1,0.6747076511383057,0.0180330276489257,segment_fold_0,random-forest,{},2072205,segment_fold_0 experiment,1848,462,7,7,1714000935
0.9805194805194806,0.9804860619875256,0.9804860619875256,0.9805194805194806,2,0.6812191009521484,0.0093710422515869,segment_fold_0,random-forest,{},2005956,segment_fold_0 experiment,1848,462,7,7,1714000936
0.9848484848484848,0.984897183973118,0.984897183973118,0.9848484848484848,3,0.5809109210968018,0.0097966194152832,segment_fold_0,random-forest,{},2038596,segment_fold_0 experiment,1848,462,7,7,1714000937
0.9523809523809524,0.9519394710287546,0.9519394710287548,0.9523809523809524,1,0.0007824897766113,0.2737815380096435,segment_fold_0,knn,"{""n_neighbors"": 5}",296396,segment_fold_0 experiment,1848,462,7,7,1714000937
0.9523809523809524,0.9519394710287546,0.9519394710287548,0.9523809523809524,2,0.0006818771362304,0.2481002807617187,segment_fold_0,knn,"{""n_neighbors"": 5}",296396,segment_fold_0 experiment,1848,462,7,7,1714000937
0.9523809523809524,0.9519394710287546,0.9519394710287548,0.9523809523809524,3,0.0006711483001708,0.263599157333374,segment_fold_0,knn,"{""n_neighbors"": 5}",296396,segment_fold_0 experiment,1848,462,7,7,1714000938
0.9285714285714286,0.9272417392575194,0.9272417392575192,0.9285714285714286,1,0.0006647109985351,0.2530064582824707,segment_fold_0,knn,"{""n_neighbors"": 10}",296396,segment_fold_0 experiment,1848,462,7,7,1714000938
0.9285714285714286,0.9272417392575194,0.9272417392575192,0.9285714285714286,2,0.0007126331329345,0.2250809669494629,segment_fold_0,knn,"{""n_neighbors"": 10}",296396,segment_fold_0 experiment,1848,462,7,7,1714000938
0.9285714285714286,0.9272417392575194,0.9272417392575192,0.9285714285714286,3,0.0006577968597412,0.2207899093627929,segment_fold_0,knn,"{""n_neighbors"": 10}",296396,segment_fold_0 experiment,1848,462,7,7,1714000939
0.9632034632034632,0.963124679368998,0.963124679368998,0.9632034632034632,1,1.799764633178711,0.0005722045898437,segment_fold_0,mlp,"{""hidden_layer_sizes"": [100]}",73114,segment_fold_0 experiment,1848,462,7,7,1714000939
0.9696969696969696,0.9695564683921114,0.9695564683921112,0.9696969696969696,2,1.2417991161346436,0.0005896091461181,segment_fold_0,mlp,"{""hidden_layer_sizes"": [100]}",72582,segment_fold_0 experiment,1848,462,7,7,1714000941
0.9393939393939394,0.9392671239212038,0.939267123921204,0.9393939393939394,3,0.8417952060699463,0.0005803108215332,segment_fold_0,mlp,"{""hidden_layer_sizes"": [100]}",71594,segment_fold_0 experiment,1848,462,7,7,1714000942
0.9523809523809524,0.9527963123806696,0.9527963123806696,0.9523809523809524,1,1.7145700454711914,0.0209317207336425,segment_fold_0,mlp,"{""hidden_layer_sizes"": [100, 100]}",313820,segment_fold_0 experiment,1848,462,7,7,1714000943
0.948051948051948,0.9482786190830472,0.9482786190830472,0.948051948051948,2,0.7916948795318604,0.0218012332916259,segment_fold_0,mlp,"{""hidden_layer_sizes"": [100, 100]}",313135,segment_fold_0 experiment,1848,462,7,7,1714000944
0.9675324675324676,0.9673277749115496,0.9673277749115496,0.9675324675324676,3,1.7380235195159912,0.0166938304901123,segment_fold_0,mlp,"{""hidden_layer_sizes"": [100, 100]}",313971,segment_fold_0 experiment,1848,462,7,7,1714000945
0.9632034632034632,0.9633708188959392,0.9633708188959396,0.9632034632034632,1,3.451634407043457,0.0227038860321044,segment_fold_0,mlp,"{""hidden_layer_sizes"": [100, 100, 100]}",556681,segment_fold_0 experiment,1848,462,7,7,1714000947
0.9567099567099568,0.9566578421578422,0.956657842157842,0.9567099567099568,2,3.486994743347168,0.025308609008789,segment_fold_0,mlp,"{""hidden_layer_sizes"": [100, 100, 100]}",556757,segment_fold_0 experiment,1848,462,7,7,1714000951
0.974025974025974,0.9739195822453852,0.9739195822453852,0.974025974025974,3,3.7367637157440186,0.0201420783996582,segment_fold_0,mlp,"{""hidden_layer_sizes"": [100, 100, 100]}",557535,segment_fold_0 experiment,1848,462,7,7,1714000954
