val_accuracy,val_accuracy_mean,val_accuracy_std,val_f1 weighted,val_f1 weighted_mean,val_f1 weighted_std,val_model size,val_model size_mean,val_model size_std,train time,val_predict time,train_samples,val_samples,test_samples,classes,test_accuracy,test_accuracy_mean,test_accuracy_std,test_f1 weighted,test_f1 weighted_mean,test_f1 weighted_std,test_model size,test_model size_mean,test_model size_std,test_predict time,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,root_data_dir,dataset_name,n_estimators,max_depth
0.9655172413793104,0.9655172413793104,0.0,0.9656750572082381,0.9656750572082381,0.0,144553,146552.66666666666,1421.6376315909604,0.08648759900825098,0.003032281994819641,113,29,36,3,0.9722222222222222,0.9722222222222222,0.0,0.9723691945914168,0.9723691945914168,0.0,144553,146552.66666666666,1421.6376315909604,0.0030731979641132057,True,3,6c67b32d,2024-04-26_13-30-54,1714138254,0.10000944137573242,0.304229736328125,3158153,7a98ee01b1f1,172.17.0.2,0.304229736328125,3,/workspaces/wisard/experiments/data_folded,wine_fold_0,85,12
0.9655172413793104,0.9655172413793104,0.0,0.9656750572082381,0.9656750572082381,0.0,1397498,1391288.3333333333,4668.844420434485,0.8207069830386899,0.02483130496693775,113,29,36,3,0.9722222222222222,0.9722222222222222,0.0,0.9723691945914168,0.9723691945914168,0.0,1397498,1391288.3333333333,4668.844420434485,0.024366983969230205,True,3,9ce25197,2024-04-26_13-30-08,1714138208,0.9170427322387695,2.7592220306396484,3149167,7a98ee01b1f1,172.17.0.2,2.7592220306396484,3,/workspaces/wisard/experiments/data_folded,wine_fold_0,824,67
0.9655172413793104,0.9655172413793104,0.0,0.9656750572082381,0.9656750572082381,0.0,101342,101226.66666666667,725.5643014616661,0.061665605986490846,0.002207582991104573,113,29,36,3,0.9722222222222222,0.9722222222222222,0.0,0.9723691945914168,0.9723691945914168,0.0,101342,101226.66666666667,725.5643014616661,0.0022568480344489217,True,3,5b21dd0c,2024-04-26_13-33-02,1714138382,0.07306694984436035,0.22376060485839844,3181760,7a98ee01b1f1,172.17.0.2,0.22376060485839844,3,/workspaces/wisard/experiments/data_folded,wine_fold_0,58,8
0.9655172413793104,0.942528735632184,0.032510656606278054,0.9656750572082381,0.941750511544562,0.033834416951185234,13266,13738.333333333334,333.99234854841944,0.011023066996131092,0.0006468120263889432,113,29,36,3,1.0,0.9722222222222222,0.022680460581325734,1.0,0.9722712130119536,0.022680566403333657,13266,13738.333333333334,333.99234854841944,0.0006844940362498164,True,3,a0efc62d,2024-04-26_13-32-02,1714138322,0.01671433448791504,0.05115389823913574,3170553,7a98ee01b1f1,172.17.0.2,0.05115389823913574,3,/workspaces/wisard/experiments/data_folded,wine_fold_0,10,3
0.9655172413793104,0.9655172413793104,0.0,0.9656750572082381,0.9656750572082381,0.0,19089,17678.0,1152.0766756890214,0.011214215017389506,0.0006626130198128521,113,29,36,3,0.9444444444444444,0.9537037037037036,0.013094570021973107,0.9435246235246235,0.953465257829187,0.01337305532822192,19089,17678.0,1152.0766756890214,0.0006970429676584899,True,3,5680e445,2024-04-26_13-32-22,1714138342,0.016948699951171875,0.05174446105957031,3174299,7a98ee01b1f1,172.17.0.2,0.05174446105957031,3,/workspaces/wisard/experiments/data_folded,wine_fold_0,10,7
0.9655172413793104,0.9655172413793104,0.0,0.9656750572082381,0.9656750572082381,0.0,44813,43460.666666666664,1082.1658324346083,0.027136613964103162,0.0012023570016026497,113,29,36,3,0.9444444444444444,0.9537037037037036,0.013094570021973107,0.9445019553715207,0.9537910351114861,0.01313674255022416,44813,43460.666666666664,1082.1658324346083,0.0011391290463507175,True,3,58df91c2,2024-04-26_13-32-58,1714138378,0.03459477424621582,0.10702824592590332,3181000,7a98ee01b1f1,172.17.0.2,0.10702824592590332,3,/workspaces/wisard/experiments/data_folded,wine_fold_0,25,51
0.9655172413793104,0.9655172413793104,0.0,0.9656750572082381,0.9656750572082381,0.0,71599,68668.66666666667,2194.3078382234544,0.041089882026426494,0.0016125369584187865,113,29,36,3,0.9722222222222222,0.9629629629629629,0.013094570021973107,0.9723691945914168,0.9630801148514515,0.01313674255022416,71599,68668.66666666667,2194.3078382234544,0.0015873439842835069,True,3,68941ace,2024-04-26_13-28-41,1714138121,0.04987692832946777,0.1515209674835205,3133566,7a98ee01b1f1,172.17.0.2,0.1515209674835205,3,/workspaces/wisard/experiments/data_folded,wine_fold_0,40,53
0.9655172413793104,0.9655172413793104,0.0,0.9656750572082381,0.9656750572082381,0.0,1055367,1061783.6666666667,9307.431343943517,0.6323748789727688,0.019517377018928528,113,29,36,3,0.9722222222222222,0.9722222222222222,0.0,0.9723691945914168,0.9723691945914168,0.0,1055367,1061783.6666666667,9307.431343943517,0.019417604024056345,True,3,21028e50,2024-04-26_13-28-24,1714138104,0.7040660381317139,2.134235143661499,3129525,7a98ee01b1f1,172.17.0.2,2.134235143661499,3,/workspaces/wisard/experiments/data_folded,wine_fold_0,635,34
0.9655172413793104,0.9655172413793104,0.0,0.9656750572082381,0.9656750572082381,0.0,846776,850902.6666666666,3044.805230041634,0.5114924449590035,0.015779589011799544,113,29,36,3,0.9722222222222222,0.9722222222222222,0.0,0.9723691945914168,0.9723691945914168,0.0,846776,850902.6666666666,3044.805230041634,0.015927037980873138,True,3,d49c3a9b,2024-04-26_13-30-01,1714138201,0.5698540210723877,1.7019286155700684,3148045,7a98ee01b1f1,172.17.0.2,1.7019286155700684,3,/workspaces/wisard/experiments/data_folded,wine_fold_0,505,75
0.896551724137931,0.9195402298850576,0.032510656606278054,0.8936250362213852,0.9177338378822776,0.03389974906370419,23056,23175.333333333332,166.64599871850774,0.01351453096140176,0.0007587120053358376,113,29,36,3,0.9166666666666666,0.9537037037037037,0.026189140043946214,0.9171075837742504,0.9539486576523614,0.026050573165406824,23056,23175.333333333332,166.64599871850774,0.0007490619900636375,True,3,cdcc3d5e,2024-04-26_13-28-45,1714138125,0.019453763961791992,0.05917096138000488,3134313,7a98ee01b1f1,172.17.0.2,0.05917096138000488,3,/workspaces/wisard/experiments/data_folded,wine_fold_0,12,41
