accuracy,f1 weighted,f1 macro,f1 micro,run,train time,predict time,dataset name,model,model kwargs,model size,experiment name,train samples,test samples,classes,discriminators,seed
0.9813167259786477,0.9813145541986519,0.9813521134249026,0.9813167259786477,1,0.6145365238189697,0.020847558975219727,optical_handwritten,random-forest,{},11959106,optical_handwritten experiment,4496,1124,10,10,1702344946
0.9830960854092526,0.9830900137519714,0.983095305658605,0.9830960854092526,2,0.6074066162109375,0.019816160202026367,optical_handwritten,random-forest,{},11777378,optical_handwritten experiment,4496,1124,10,10,1702344947
0.9839857651245552,0.9839893051136686,0.9840100969225455,0.9839857651245552,3,0.6283800601959229,0.02001357078552246,optical_handwritten,random-forest,{},11785442,optical_handwritten experiment,4496,1124,10,10,1702344948
0.9083629893238434,0.908948949193043,0.9089873786452612,0.9083629893238435,1,0.05086636543273926,0.00035834312438964844,optical_handwritten,decision-tree,{},89185,optical_handwritten experiment,4496,1124,10,10,1702344948
0.9083629893238434,0.908948949193043,0.9089873786452612,0.9083629893238435,2,0.05240154266357422,0.0003895759582519531,optical_handwritten,decision-tree,{},89185,optical_handwritten experiment,4496,1124,10,10,1702344948
0.9083629893238434,0.908948949193043,0.9089873786452612,0.9083629893238435,3,0.05249977111816406,0.00032258033752441406,optical_handwritten,decision-tree,{},89185,optical_handwritten experiment,4496,1124,10,10,1702344948
0.9626334519572953,0.9626512846726856,0.9626588636864192,0.9626334519572953,1,0.30478405952453613,0.00057220458984375,optical_handwritten,logistic-regression,{},5967,optical_handwritten experiment,4496,1124,10,10,1702344948
0.9626334519572953,0.9626512846726856,0.9626588636864192,0.9626334519572953,2,0.2692859172821045,0.014256715774536133,optical_handwritten,logistic-regression,{},5967,optical_handwritten experiment,4496,1124,10,10,1702344949
0.9626334519572953,0.9626512846726856,0.9626588636864192,0.9626334519572953,3,0.43491554260253906,0.00558781623840332,optical_handwritten,logistic-regression,{},5967,optical_handwritten experiment,4496,1124,10,10,1702344949
0.9884341637010676,0.988428941906149,0.9884573002471295,0.9884341637010676,1,0.0007727146148681641,0.1876833438873291,optical_handwritten,knn,{},2338660,optical_handwritten experiment,4496,1124,10,10,1702344950
0.9884341637010676,0.988428941906149,0.9884573002471295,0.9884341637010676,2,0.00041294097900390625,0.2239696979522705,optical_handwritten,knn,{},2338660,optical_handwritten experiment,4496,1124,10,10,1702344950
0.9884341637010676,0.988428941906149,0.9884573002471295,0.9884341637010676,3,0.00042319297790527344,0.19318723678588867,optical_handwritten,knn,{},2338660,optical_handwritten experiment,4496,1124,10,10,1702344950
0.7927046263345195,0.7872428554970639,0.7878958676548504,0.7927046263345195,1,0.004331827163696289,0.0033948421478271484,optical_handwritten,naive-bayes,{},11015,optical_handwritten experiment,4496,1124,10,10,1702344950
0.7927046263345195,0.7872428554970639,0.7878958676548504,0.7927046263345195,2,0.0034732818603515625,0.0028667449951171875,optical_handwritten,naive-bayes,{},11015,optical_handwritten experiment,4496,1124,10,10,1702344950
0.7927046263345195,0.7872428554970639,0.7878958676548504,0.7927046263345195,3,0.003783702850341797,0.0029726028442382812,optical_handwritten,naive-bayes,{},11015,optical_handwritten experiment,4496,1124,10,10,1702344950
0.9768683274021353,0.9768618138722712,0.9768508575898969,0.9768683274021353,1,1.5704329013824463,0.009267091751098633,optical_handwritten,mlp,{},186728,optical_handwritten experiment,4496,1124,10,10,1702344950
0.9804270462633452,0.9804513384272535,0.9804338034023173,0.9804270462633452,2,1.8794455528259277,0.009235858917236328,optical_handwritten,mlp,{},187070,optical_handwritten experiment,4496,1124,10,10,1702344952
0.9857651245551602,0.9857721655808882,0.9857517104643716,0.9857651245551602,3,1.9668772220611572,0.0092926025390625,optical_handwritten,mlp,{},187204,optical_handwritten experiment,4496,1124,10,10,1702344954
0.9919928825622776,0.9919918925110768,0.9920096641067534,0.9919928825622776,1,0.18265151977539062,0.09133553504943848,optical_handwritten,svm,{},733145,optical_handwritten experiment,4496,1124,10,10,1702344956
0.9919928825622776,0.9919918925110768,0.9920096641067534,0.9919928825622776,2,0.12392830848693848,0.08948945999145508,optical_handwritten,svm,{},733145,optical_handwritten experiment,4496,1124,10,10,1702344956
0.9919928825622776,0.9919918925110768,0.9920096641067534,0.9919928825622776,3,0.12861990928649902,0.08663463592529297,optical_handwritten,svm,{},733145,optical_handwritten experiment,4496,1124,10,10,1702344956
