bleach,accuracy,f1 weighted,f1 macro,f1 micro,ties,run,train time,predict time,ram name,ram kwargs,tuple size,dataset name,encoder,encoder kwargs,experiment name,model size,train samples,test samples,classes,rams per discriminator,discriminators,seed,indices
15,0.7546897546897547,0.7288688772649302,0.7288688772649303,0.7546897546897547,336,1,3.382016181945801,4.487734794616699,DictRam,{},16,segment,distributive-thermometer,"{""resolution"": 16}",segment experiment,6240,1617,693,7,19,7,1670371914,304
20,0.7561327561327561,0.7350887602152913,0.7350887602152912,0.7561327561327562,333,1,3.382016181945801,4.247103929519653,DictRam,{},16,segment,distributive-thermometer,"{""resolution"": 16}",segment experiment,6240,1617,693,7,19,7,1670371914,304
25,0.7445887445887446,0.730874702458962,0.730874702458962,0.7445887445887447,323,1,3.382016181945801,4.285439968109131,DictRam,{},16,segment,distributive-thermometer,"{""resolution"": 16}",segment experiment,6240,1617,693,7,19,7,1670371914,304
30,0.7633477633477633,0.7563144353386391,0.7563144353386392,0.7633477633477633,318,1,3.382016181945801,4.248539209365845,DictRam,{},16,segment,distributive-thermometer,"{""resolution"": 16}",segment experiment,6240,1617,693,7,19,7,1670371914,304
40,0.7604617604617605,0.74306120052496,0.7430612005249602,0.7604617604617605,277,1,3.382016181945801,4.260138034820557,DictRam,{},16,segment,distributive-thermometer,"{""resolution"": 16}",segment experiment,6240,1617,693,7,19,7,1670371914,304
15,0.7359307359307359,0.6992937280645329,0.6992937280645329,0.7359307359307359,377,2,1.7399611473083496,4.241033554077148,DictRam,{},16,segment,distributive-thermometer,"{""resolution"": 16}",segment experiment,6312,1617,693,7,19,7,1670371939,304
20,0.7402597402597403,0.7046385000272269,0.7046385000272269,0.7402597402597403,383,2,1.7399611473083496,4.237697124481201,DictRam,{},16,segment,distributive-thermometer,"{""resolution"": 16}",segment experiment,6312,1617,693,7,19,7,1670371939,304
25,0.7474747474747475,0.7351073405439131,0.735107340543913,0.7474747474747475,365,2,1.7399611473083496,4.257769823074341,DictRam,{},16,segment,distributive-thermometer,"{""resolution"": 16}",segment experiment,6312,1617,693,7,19,7,1670371939,304
30,0.759018759018759,0.7525731710780404,0.7525731710780406,0.759018759018759,348,2,1.7399611473083496,4.224736452102661,DictRam,{},16,segment,distributive-thermometer,"{""resolution"": 16}",segment experiment,6312,1617,693,7,19,7,1670371939,304
40,0.7431457431457431,0.7256029985937945,0.7256029985937945,0.7431457431457431,342,2,1.7399611473083496,4.241302967071533,DictRam,{},16,segment,distributive-thermometer,"{""resolution"": 16}",segment experiment,6312,1617,693,7,19,7,1670371939,304
