accuracy,f1 weighted,f1 macro,f1 micro,run,train time,predict time,dataset name,model,model kwargs,model size,experiment name,train samples,test samples,classes,discriminators,seed
0.9129082426127527,0.9111944687570678,0.8968445071107013,0.9129082426127526,1,0.8523867130279541,0.02736496925354004,satimage,random-forest,{},8258882,satimage experiment,4501,1929,6,6,1702345028
0.9134266459305339,0.9111704626758879,0.8959349352407228,0.9134266459305339,2,1.5179686546325684,0.027559280395507812,satimage,random-forest,{},8200418,satimage experiment,4501,1929,6,6,1702345029
0.9118714359771902,0.909358062248737,0.8927711601319803,0.9118714359771901,3,0.8264985084533691,0.026899099349975586,satimage,random-forest,{},8165026,satimage experiment,4501,1929,6,6,1702345030
0.8543286677034733,0.854071655865445,0.8284759192956656,0.8543286677034733,1,0.06871676445007324,0.0005381107330322266,satimage,decision-tree,{},88193,satimage experiment,4501,1929,6,6,1702345031
0.8543286677034733,0.854071655865445,0.8284759192956656,0.8543286677034733,2,0.06637334823608398,0.00038242340087890625,satimage,decision-tree,{},88193,satimage experiment,4501,1929,6,6,1702345031
0.8543286677034733,0.854071655865445,0.8284759192956656,0.8543286677034733,3,0.06558609008789062,0.0003936290740966797,satimage,decision-tree,{},88193,satimage experiment,4501,1929,6,6,1702345031
0.8579574909279419,0.8508782484541907,0.815799284738258,0.8579574909279419,1,0.08192229270935059,0.0007331371307373047,satimage,logistic-regression,{},2511,satimage experiment,4501,1929,6,6,1702345031
0.8579574909279419,0.8508782484541907,0.815799284738258,0.8579574909279419,2,0.1339282989501953,0.0005788803100585938,satimage,logistic-regression,{},2511,satimage experiment,4501,1929,6,6,1702345031
0.8579574909279419,0.8508782484541907,0.815799284738258,0.8579574909279419,3,0.13454318046569824,0.0005140304565429688,satimage,logistic-regression,{},2511,satimage experiment,4501,1929,6,6,1702345032
0.902540176257128,0.9025045416497844,0.88676771565014,0.902540176257128,1,0.0008971691131591797,0.1511998176574707,satimage,knn,{},1333004,satimage experiment,4501,1929,6,6,1702345032
0.902540176257128,0.9025045416497844,0.88676771565014,0.902540176257128,2,0.0007493495941162109,0.011593341827392578,satimage,knn,{},1333004,satimage experiment,4501,1929,6,6,1702345032
0.902540176257128,0.9025045416497844,0.88676771565014,0.902540176257128,3,0.0007345676422119141,0.013208627700805664,satimage,knn,{},1333004,satimage experiment,4501,1929,6,6,1702345032
0.7864178330741317,0.7956565662210516,0.7696582054314199,0.7864178330741317,1,0.003260374069213867,0.0026335716247558594,satimage,naive-bayes,{},4135,satimage experiment,4501,1929,6,6,1702345032
0.7864178330741317,0.7956565662210516,0.7696582054314199,0.7864178330741317,2,0.0029430389404296875,0.002155303955078125,satimage,naive-bayes,{},4135,satimage experiment,4501,1929,6,6,1702345032
0.7864178330741317,0.7956565662210516,0.7696582054314199,0.7864178330741317,3,0.002843141555786133,0.0021278858184814453,satimage,naive-bayes,{},4135,satimage experiment,4501,1929,6,6,1702345032
0.911353032659409,0.9102016737008277,0.896849933722916,0.911353032659409,1,2.941802740097046,0.001941680908203125,satimage,mlp,{},111711,satimage experiment,4501,1929,6,6,1702345032
0.9144634525660964,0.9128229378609618,0.8982206945639701,0.9144634525660963,2,3.230346918106079,0.0021173954010009766,satimage,mlp,{},111711,satimage experiment,4501,1929,6,6,1702345035
0.9134266459305339,0.9118114251368707,0.8967183120013297,0.9134266459305339,3,2.8333077430725098,0.002016305923461914,satimage,mlp,{},111710,satimage experiment,4501,1929,6,6,1702345038
0.8937273198548471,0.892530243798912,0.8736866237703951,0.8937273198548471,1,0.20293545722961426,0.16842126846313477,satimage,svm,{},486618,satimage experiment,4501,1929,6,6,1702345041
0.8937273198548471,0.892530243798912,0.8736866237703951,0.8937273198548471,2,0.15256977081298828,0.17830348014831543,satimage,svm,{},486618,satimage experiment,4501,1929,6,6,1702345041
0.8937273198548471,0.892530243798912,0.8736866237703951,0.8937273198548471,3,0.14994406700134277,0.16926360130310059,satimage,svm,{},486618,satimage experiment,4501,1929,6,6,1702345042
