accuracy,f1 weighted,f1 macro,f1 micro,run,train time,predict time,dataset name,model,model kwargs,model size,experiment name,train samples,test samples,classes,discriminators,seed
0.916010498687664,0.9157106891470286,0.9136494985551589,0.916010498687664,1,0.4840822219848633,0.011002063751220703,rice,random-forest,{},2879056,rice experiment,3048,762,2,2,1702350967
0.916010498687664,0.9157106891470286,0.9136494985551589,0.916010498687664,2,0.4738891124725342,0.011672496795654297,rice,random-forest,{},2879056,rice experiment,3048,762,2,2,1702350967
0.9146981627296588,0.9143719239819431,0.9122609673790776,0.9146981627296588,3,0.47586560249328613,0.010490655899047852,rice,random-forest,{},2847856,rice experiment,3048,762,2,2,1702350968
0.9028871391076115,0.9029240057425597,0.9008963408204156,0.9028871391076115,1,0.022037744522094727,0.00019097328186035156,rice,decision-tree,{},37048,rice experiment,3048,762,2,2,1702350968
0.9028871391076115,0.9029240057425597,0.9008963408204156,0.9028871391076115,2,0.02171468734741211,0.0001811981201171875,rice,decision-tree,{},37048,rice experiment,3048,762,2,2,1702350968
0.9028871391076115,0.9029240057425597,0.9008963408204156,0.9028871391076115,3,0.02203059196472168,0.0001881122589111328,rice,decision-tree,{},37048,rice experiment,3048,762,2,2,1702350968
0.9173228346456693,0.9170484727480352,0.9150364854987179,0.9173228346456693,1,0.018135786056518555,0.00023794174194335938,rice,logistic-regression,{},764,rice experiment,3048,762,2,2,1702350968
0.9173228346456693,0.9170484727480352,0.9150364854987179,0.9173228346456693,2,0.017264842987060547,0.00018668174743652344,rice,logistic-regression,{},764,rice experiment,3048,762,2,2,1702350968
0.9173228346456693,0.9170484727480352,0.9150364854987179,0.9173228346456693,3,0.018804311752319336,0.00017833709716796875,rice,logistic-regression,{},764,rice experiment,3048,762,2,2,1702350968
0.8648293963254593,0.8636907391101323,0.859895215059042,0.8648293963254594,1,0.003936290740966797,0.07681012153625488,rice,knn,{},409678,rice experiment,3048,762,2,2,1702350968
0.8648293963254593,0.8636907391101323,0.859895215059042,0.8648293963254594,2,0.00365447998046875,0.041805267333984375,rice,knn,{},409678,rice experiment,3048,762,2,2,1702350968
0.8648293963254593,0.8636907391101323,0.859895215059042,0.8648293963254594,3,0.0019273757934570312,0.024633169174194336,rice,knn,{},409678,rice experiment,3048,762,2,2,1702350968
0.8910761154855643,0.8904842419561887,0.8876535424678704,0.8910761154855643,1,0.0011239051818847656,0.0002536773681640625,rice,naive-bayes,{},801,rice experiment,3048,762,2,2,1702350968
0.8910761154855643,0.8904842419561887,0.8876535424678704,0.8910761154855643,2,0.0011150836944580078,0.0002529621124267578,rice,naive-bayes,{},801,rice experiment,3048,762,2,2,1702350968
0.8910761154855643,0.8904842419561887,0.8876535424678704,0.8910761154855643,3,0.0010936260223388672,0.0002574920654296875,rice,naive-bayes,{},801,rice experiment,3048,762,2,2,1702350968
0.7506561679790026,0.7488497774092197,0.7502690842854776,0.7506561679790026,1,0.4428722858428955,0.0005640983581542969,rice,mlp,{},26672,rice experiment,3048,762,2,2,1702350968
0.431758530183727,0.26490742592072014,0.3072945424771422,0.431758530183727,2,0.6994895935058594,0.0005702972412109375,rice,mlp,{},26884,rice experiment,3048,762,2,2,1702350969
0.573490813648294,0.419441735242615,0.3673020471668468,0.573490813648294,3,0.6660120487213135,0.0019295215606689453,rice,mlp,{},26558,rice experiment,3048,762,2,2,1702350970
0.868766404199475,0.867169718729999,0.8631780050563089,0.868766404199475,1,0.14291715621948242,0.023106098175048828,rice,svm,{},75416,rice experiment,3048,762,2,2,1702350970
0.868766404199475,0.867169718729999,0.8631780050563089,0.868766404199475,2,0.07895350456237793,0.023035049438476562,rice,svm,{},75416,rice experiment,3048,762,2,2,1702350970
0.868766404199475,0.867169718729999,0.8631780050563089,0.868766404199475,3,0.07590293884277344,0.023275136947631836,rice,svm,{},75416,rice experiment,3048,762,2,2,1702350970
